Run,Cloud,Job Conf,Workflow,History,Inputs,Server,Tool,Tool Version,State,Slots,Memory,Runtime (Sec),CPU,Memory Limit (Bytes),Memory Max usage (Bytes),Memory Soft Limit
1,eks,4x8,ea79543f771c7a21,71c8e2ba7043f127,ERR015526_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,1369.0000000,10828273577907.0000000,16000000000.0000000,13930917888.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,71c8e2ba7043f127,ERR015526_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,stringtie,2.1.1,ok,8.0000000,16000.0000000,90.0000000,213412025867.0000000,16000000000.0000000,56913920.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,c2a3790d6296bf91,SRR592109_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,40.0000000,196780472056.0000000,16000000000.0000000,9535156224.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,c2a3790d6296bf91,SRR592109_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,112.0000000,859955661455.0000000,16000000000.0000000,7961686016.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,71c8e2ba7043f127,ERR015526_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,hisat2,2.1.0+galaxy7,ok,8.0000000,16000.0000000,298.0000000,2269483008231.0000000,16000000000.0000000,10312364032.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,71c8e2ba7043f127,ERR015526_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa,0.7.17.4,ok,8.0000000,16000.0000000,2755.0000000,16242049158749.0000000,16000000000.0000000,15999741952.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,c2a3790d6296bf91,SRR592109_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,stringtie,2.1.1,ok,8.0000000,16000.0000000,31.0000000,74783670936.0000000,16000000000.0000000,248082432.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,c2a3790d6296bf91,SRR592109_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa_mem,0.7.17.1,ok,8.0000000,16000.0000000,138.0000000,1017589265459.0000000,16000000000.0000000,14634315776.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,c2a3790d6296bf91,SRR592109_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bwa,0.7.17.4,ok,8.0000000,16000.0000000,306.0000000,1785256541302.0000000,16000000000.0000000,11298525184.0000000,9223372036854771712.0000000
1,eks,4x8,ea79543f771c7a21,71c8e2ba7043f127,ERR015526_2.fastq.gz,http://a8e3c9d346a6f4cc7925d8a406fb8167-1577241336.us-east-1.elb.amazonaws.com,bowtie2,2.4.2+galaxy0,ok,8.0000000,16000.0000000,763.0000000,6053890419173.0000000,16000000000.0000000,15794126848.0000000,9223372036854771712.0000000
